ym,n,recovered,billed
2025-05,1,0.0,0.0
2025-06,64,354511.48,0.0
2025-07,743,1451394.51,0.0
2025-08,1163,1504885.86,0.0
2025-09,1454,1150698.22,0.0
2025-10,1572,557776.97,0.0
2025-11,1517,782171.06,0.0
2025-12,1829,749561.26,0.0
2026-01,752,342458.53,0.0
2026-02,1950,485915.44,0.0
2026-03,3148,563584.36,0.0
2026-04,2267,550280.01,0.0
2026-05,1792,344356.58,0.0
2026-06,883,457049.61,0.0
2026-07,1635,698188.43,0.0
2026-08,1282,1259031.32,0.0
2026-09,686,771970.26,0.0
