ym,Client,recovered,n
2025-11,Aetna,2481932.825454545,36
2025-11,Anthem Central,9682.41,2
2025-11,Anthem Commercial Expansion,1143534.06,3
2025-11,Anthem Retro Term Recovery Program,0.1,1
2025-11,Anthem SE,118580.05,2
2025-11,BCBS GA,168722.43,2
2025-11,BCBS NC,312594.693636364,24
2025-11,BCBSNCF_RX,27852.42,10
2025-11,BlueCross BlueShield South Carolina,767917.45,5
2025-11,CEN_RX,237806.52,42
2025-11,Carefirst Commercial,428812.88,2
2025-11,Centene,4106367.240909091,7
2025-11,Centene Fidelis,104836.63,3
2025-11,Cigna,556909.090909091,1
2025-11,Elevance,1609590.909090909,1
2025-11,Elixir,-1931.818181818,1
2025-11,Elixir Insurance,34450.56,7
2025-11,EmblemHealth,117366.42,20
2025-11,Empire,124975.58,2
2025-11,Excellus,141681.655454545,26
2025-11,GHI_RX,277989.0,21
2025-11,HAP_RX,1058.47,1
2025-11,Health Alliance Plan,-2365.47,2
2025-11,HealthSpring,1832622.83,21
2025-11,NY State Health Insurance Plan,76367.07,4
2025-11,NYSHIP,132575.772727273,1
2025-11,OSCAR,47755.6,2
2025-11,Tufts,-22253.89,5
2025-11,Wellcare,4967667.88,6
2025-11,Wellpoint Part D,549335.56,6
2025-12,AETNA_CHK,1955.42,5
2025-12,AHP_RX,989376.38,338
2025-12,AHP_RX ,1317.73,1
2025-12,AHRP_RX,477063.26,371
2025-12,Aetna,3186769.950909091,44
2025-12,Anthem Central,2818.56,2
2025-12,Anthem Commercial Expansion,1337359.25,3
2025-12,Anthem NASCO,536.68,1
2025-12,Anthem Retro Term Recovery Program,819.06,1
2025-12,Anthem SE,271172.94,2
2025-12,BCBS GA,95457.64,2
2025-12,BCBS NC,367708.796363636,32
2025-12,BCBS NC State,164.43,1
2025-12,BCBSNCF_RX,1537.79,3
2025-12,BCBSNC_RX,1539.79,1
2025-12,BlueCross BlueShield South Carolina,626541.58,7
2025-12,CEN_RX,-16719.51,1
2025-12,Carefirst Commercial,149610.67,2
2025-12,Centene,7600214.227272727,14
2025-12,Centene Fidelis,276099.61,5
2025-12,Cigna,374636.363636364,1
2025-12,EMBFAC_RX,21254.43,11
2025-12,Elevance,1665227.272727273,1
2025-12,Elixir,-1545.454545455,1
2025-12,Elixir Insurance,14516.26,2
2025-12,EmblemHealth,69324.75,23
2025-12,Empire,172535.18,2
2025-12,Excellus,150384.427272727,22
2025-12,GHI_RX,34723.2,1
2025-12,HNA_RX,9969.78,3
2025-12,Health Alliance Plan,19329.91,2
2025-12,HealthSpring,1845791.52,29
2025-12,MMOH_RX,3662.0,2
2025-12,Medical Mutual of Ohio,20041.63,1
2025-12,NY State Health Insurance Plan,335952.17,9
2025-12,NYSHIP,132575.772727273,1
2025-12,OSCAR,219592.48,5
2025-12,OSC_RX,11623.62,7
2025-12,Tufts,3333.57,2
2025-12,Wellcare,7929837.25,5
2025-12,Wellpoint Part D,777213.65,4
2026-01,AETNA_CHK,1235.62,4
2026-01,AFC,122477.272727273,1
2026-01,AHP_RX,509957.04,236
2026-01,AHRP_RX,643823.21,386
2026-01,Aetna,2891567.346363636,55
2026-01,Anthem Central,5202.71,1
2026-01,Anthem Commercial Expansion,1440955.29,2
2026-01,Anthem Retro Term Recovery Program,1111.12,1
